id,image_path,alt_text,caption,status,featured,sort_order
wc-01,assets/uploads/weekend-crew/weekend-crew-01.jpeg,Weekend Crew group at a hilltop heritage shelter near Jaipur,New trails. New people. One memorable weekend.,Active,Yes,1
wc-02,assets/uploads/weekend-crew/weekend-crew-02.jpeg,Weekend Crew hikers exploring an outdoor trail in Rajasthan,Explore beyond the usual route.,Active,Yes,2
wc-03,assets/uploads/weekend-crew/weekend-crew-03.jpeg,Adventure community members during a Jaipur weekend trek,Community-powered outdoor experiences.,Active,No,3
wc-04,assets/uploads/weekend-crew/weekend-crew-04.jpeg,Weekend hikers enjoying a Rajasthan nature trail,Walk into the wild together.,Active,No,4
wc-05,assets/uploads/weekend-crew/weekend-crew-05.jpeg,Weekend Crew group during a sunrise hike near Jaipur,Golden-hour trails and great company.,Active,Yes,5
wc-06,assets/uploads/weekend-crew/weekend-crew-06.jpeg,Trekkers on a rocky hill trail in Rajasthan,Offbeat terrain. Carefully planned experiences.,Active,No,6
wc-07,assets/uploads/weekend-crew/weekend-crew-07.jpeg,Friends participating in a Weekend Crew outdoor activity,More than a trek—games music and connection.,Active,No,7
wc-08,assets/uploads/weekend-crew/weekend-crew-08.jpeg,Large trekking group exploring the Aravalli landscape,Meet like-minded explorers from Jaipur.,Active,Yes,8
wc-09,assets/uploads/weekend-crew/weekend-crew-09.jpeg,Rajasthan hill landscape photographed during a Weekend Crew hike,Hidden views around the Aravallis.,Active,No,9
wc-10,assets/uploads/weekend-crew/weekend-crew-10.jpeg,Sunrise view over an Aravalli trail near Jaipur,Wake up early. Earn the view.,Active,Yes,10
wc-11,assets/uploads/weekend-crew/weekend-crew-11.jpeg,Panoramic Rajasthan landscape on a weekend exploration,A different side of Rajasthan every weekend.,Active,No,11
wc-12,assets/uploads/weekend-crew/weekend-crew-12.jpeg,Hikers walking through a lesser-known Jaipur trail,Leave the crowded trails behind.,Active,No,12
wc-13,assets/uploads/weekend-crew/weekend-crew-13.jpeg,Weekend Crew participants posing during a hill trek,Arrive solo. Leave with a crew.,Active,No,13
wc-14,assets/uploads/weekend-crew/weekend-crew-14.jpeg,Outdoor group experience in the Jaipur hills,Shared effort creates lasting memories.,Active,No,14
wc-15,assets/uploads/weekend-crew/weekend-crew-15.jpeg,Orange sunrise framed by Aravalli vegetation near Jaipur,Nature puts on the best show.,Active,Yes,15
wc-16,assets/uploads/weekend-crew/weekend-crew-16.jpeg,Vertical adventure photograph from a Rajasthan trek,Stories from the trail.,Active,No,16
wc-17,assets/uploads/weekend-crew/weekend-crew-17.jpeg,Weekend Crew nature walk moment near Jaipur,Slow down and notice more.,Active,No,17
wc-18,assets/uploads/weekend-crew/weekend-crew-18.jpeg,Friends enjoying a scenic outdoor experience in Rajasthan,Good energy travels farther.,Active,No,18
wc-19,assets/uploads/weekend-crew/weekend-crew-19.jpeg,Trekking community photograph from Jaipur Rajasthan,Real people. Real places. Real weekends.,Active,No,19
wc-20,assets/uploads/weekend-crew/weekend-crew-20.jpeg,Weekend adventure group at a Rajasthan hill location,Your next weekend story starts here.,Active,No,20
