id,timestamp,category,title,description,image_path,featured,sort_order,status,added_by
DEMO001,2026-05-12T06:00:00.000Z,Rental Cars,Luxury Sedan,Premium sedan for executive travel and weddings,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=900&q=80&auto=format&fit=crop,true,1,Active,demo
DEMO002,2026-05-12T06:00:01.000Z,Rental Cars,SUV / Fortuner,Spacious SUV for family trips and outstation travel,https://images.unsplash.com/photo-1503376780353-7e6692767b70?w=900&q=80&auto=format&fit=crop,true,2,Active,demo
DEMO003,2026-05-12T06:00:02.000Z,Rental Cars,Tempo Traveller,12-26 seater for group travel and tours,https://images.unsplash.com/photo-1494976388531-d1058494cdd8?w=900&q=80&auto=format&fit=crop,false,3,Active,demo
DEMO004,2026-05-12T06:00:03.000Z,Rooms & Flats,Modern 1BHK,Cozy 1BHK in prime location with all amenities,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=900&q=80&auto=format&fit=crop,true,4,Active,demo
DEMO005,2026-05-12T06:00:04.000Z,Rooms & Flats,Spacious 2BHK,Family-friendly 2BHK with parking and balcony,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=900&q=80&auto=format&fit=crop,true,5,Active,demo
DEMO006,2026-05-12T06:00:05.000Z,Rooms & Flats,Premium PG,Fully-furnished PG with meals and Wi-Fi,https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=900&q=80&auto=format&fit=crop,false,6,Active,demo
DEMO007,2026-05-12T06:00:06.000Z,Construction Labor / Thekedar,Skilled Mistri,Experienced mason for plastering and brickwork,https://images.unsplash.com/photo-1581094794329-c8112a89af12?w=900&q=80&auto=format&fit=crop,true,7,Active,demo
DEMO008,2026-05-12T06:00:07.000Z,Construction Labor / Thekedar,Site Supervisor,Trusted thekedar for project oversight,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=900&q=80&auto=format&fit=crop,false,8,Active,demo
DEMO009,2026-05-12T06:00:08.000Z,Construction Labor / Thekedar,Painting Crew,Quality interior and exterior painting team,https://images.unsplash.com/photo-1572297870735-bc5fbd5d2a64?w=900&q=80&auto=format&fit=crop,false,9,Active,demo
DEMO010,2026-05-12T06:00:09.000Z,Home Tutor,Math & Science Tutor,Qualified tutor for class 6-12 students,https://images.unsplash.com/photo-1497486751825-1233686d5d80?w=900&q=80&auto=format&fit=crop,true,10,Active,demo
DEMO011,2026-05-12T06:00:10.000Z,Home Tutor,English & Languages,Specialised English speaking and grammar coach,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=900&q=80&auto=format&fit=crop,false,11,Active,demo
DEMO012,2026-05-12T06:00:11.000Z,Home Tutor,Music & Arts,Piano guitar and drawing classes at home,https://images.unsplash.com/photo-1507838153414-b4b713384a76?w=900&q=80&auto=format&fit=crop,false,12,Active,demo
DEMO013,2026-05-12T06:00:12.000Z,Manpower Supply,Skilled Workforce,Trained workers for warehouses and factories,https://images.unsplash.com/photo-1521791136064-7986c2920216?w=900&q=80&auto=format&fit=crop,true,13,Active,demo
DEMO014,2026-05-12T06:00:13.000Z,Manpower Supply,Event Staff,Helpers waiters and ushers for events,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=900&q=80&auto=format&fit=crop,false,14,Active,demo
DEMO015,2026-05-12T06:00:14.000Z,Manpower Supply,Housekeeping Team,Trained housekeeping staff for offices and hotels,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=900&q=80&auto=format&fit=crop,false,15,Active,demo
DEMO016,2026-05-12T06:00:15.000Z,Marriage Services,Wedding Decor,Elegant mandap and stage decoration,https://images.unsplash.com/photo-1519741497674-611481863552?w=900&q=80&auto=format&fit=crop,true,16,Active,demo
DEMO017,2026-05-12T06:00:16.000Z,Marriage Services,Catering & Food,Multi-cuisine catering with live counters,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=900&q=80&auto=format&fit=crop,true,17,Active,demo
DEMO018,2026-05-12T06:00:17.000Z,Marriage Services,Photography,Candid wedding photography and videography,https://images.unsplash.com/photo-1511795409834-ef04bbd61622?w=900&q=80&auto=format&fit=crop,false,18,Active,demo
DEMO019,2026-05-12T06:00:18.000Z,Hotel Flower Bouquet,Reception Bouquet,Premium reception arrangement for lobby,https://images.unsplash.com/photo-1561181286-d3fee7d55364?w=900&q=80&auto=format&fit=crop,true,19,Active,demo
DEMO020,2026-05-12T06:00:19.000Z,Hotel Flower Bouquet,Event Centerpiece,Elegant centerpieces for corporate events,https://images.unsplash.com/photo-1490750967868-88aa4486c946?w=900&q=80&auto=format&fit=crop,false,20,Active,demo
DEMO021,2026-05-12T06:00:20.000Z,Hotel Flower Bouquet,Gift Bouquets,Curated bouquets for special occasions,https://images.unsplash.com/photo-1519378058457-4c29a0a2efac?w=900&q=80&auto=format&fit=crop,false,21,Active,demo
DEMO022,2026-05-12T06:00:21.000Z,Car Decoration,Wedding Car Deco,Premium floral car decoration for weddings,https://images.unsplash.com/photo-1606013519235-f4f8b3ee5ae5?w=900&q=80&auto=format&fit=crop,true,22,Active,demo
DEMO023,2026-05-12T06:00:22.000Z,Car Decoration,Festival Decor,Festival-themed car decoration packages,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023?w=900&q=80&auto=format&fit=crop,false,23,Active,demo
DEMO024,2026-05-12T06:00:23.000Z,Car Decoration,Custom Theme,Personalized themed decoration for events,https://images.unsplash.com/photo-1567016526105-22da7c13161a?w=900&q=80&auto=format&fit=crop,false,24,Active,demo
